#
 0,         smart_high_dim,20,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,         smart_high_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,          dumb_high_dim,20,  0.02,  0.02, *-                  |                   ,  0.00,  0.02,  0.02,  0.03,  0.07
 1,          dumb_high_dim,30,  0.02,  0.03, *-                  |                   ,  0.00,  0.00,  0.02,  0.03,  0.05
 1,          dumb_high_dim,40,  0.02,  0.02, *                   |                   ,  0.00,  0.00,  0.02,  0.02,  0.03
 1,          dumb_high_dim,50,  0.02,  0.02, *                   |                   ,  0.00,  0.00,  0.02,  0.02,  0.03
#
 2,                  asIs,192,  0.22,  0.38,   ---   *           |--------           ,  0.07,  0.13,  0.22,  0.52,  0.73
