#
 0,          smart_low_dim,20,  0.00,  0.25, *         -         |                   ,  0.00,  0.00,  0.00,  0.25,  0.29
 0,          smart_low_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_low_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_low_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,           dumb_low_dim,50,  0.10,  0.08, ---*  --            |                   ,  0.00,  0.09,  0.10,  0.16,  0.21
#
 2,           dumb_low_dim,40,  0.16,  0.17, ---   *   --        |                   ,  0.00,  0.09,  0.16,  0.25,  0.31
 2,           dumb_low_dim,30,  0.17,  0.08, ------*  ---        |                   ,  0.00,  0.16,  0.17,  0.25,  0.31
#
 3,           dumb_low_dim,20,  0.27,  0.13,           * ---     |                   ,  0.16,  0.17,  0.27,  0.30,  0.39
#
 4,                  asIs,206,  0.60,  0.24,              ------ |   *    ------     ,  0.33,  0.49,  0.60,  0.73,  0.88
