#
 0,           dumb_low_dim,40,  0.47,  0.10,      *------        |                   ,  0.39,  0.39,  0.47,  0.49,  0.57
#
 1,           dumb_low_dim,50,  0.49,  0.06,     - *  -          |                   ,  0.45,  0.47,  0.49,  0.53,  0.54
 1,          smart_low_dim,50,  0.49,  0.17,       *    ---      |                   ,  0.39,  0.39,  0.49,  0.56,  0.60
 1,           dumb_low_dim,30,  0.52,  0.07, -----   *----       |                   ,  0.39,  0.47,  0.52,  0.53,  0.59
 1,          smart_low_dim,40,  0.53,  0.06, ------   * -        |                   ,  0.39,  0.49,  0.53,  0.56,  0.57
#
 2,           dumb_low_dim,20,  0.55,  0.05,       --  * ----    |                   ,  0.49,  0.52,  0.55,  0.58,  0.65
 2,          smart_low_dim,20,  0.57,  0.10, ---------   *       |                   ,  0.39,  0.53,  0.57,  0.63,  0.64
 2,          smart_low_dim,30,  0.57,  0.09, ---------   *  --   |                   ,  0.39,  0.53,  0.57,  0.63,  0.66
#
 3,                  asIs,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.59,  0.69,  0.74,  0.80,  0.99
