#
 0,           dumb_low_dim,50,  0.21,  0.06, -- * ---            |                   ,  0.15,  0.18,  0.21,  0.24,  0.31
#
 1,          smart_low_dim,50,  0.27,  0.09, --    *----         |                   ,  0.15,  0.19,  0.27,  0.28,  0.38
#
 2,           dumb_low_dim,30,  0.29,  0.06,  ----  *--          |                   ,  0.17,  0.26,  0.29,  0.31,  0.35
 2,           dumb_low_dim,40,  0.29,  0.11,  --    *--          |                   ,  0.17,  0.21,  0.29,  0.32,  0.36
#
 3,           dumb_low_dim,20,  0.33,  0.05,      -- * --        |                   ,  0.24,  0.31,  0.33,  0.36,  0.41
 3,          smart_low_dim,40,  0.38,  0.12,  -----     *--      |                   ,  0.17,  0.27,  0.38,  0.40,  0.46
 3,          smart_low_dim,30,  0.38,  0.15,            * ---    |                   ,  0.27,  0.27,  0.38,  0.42,  0.48
#
 4,          smart_low_dim,20,  0.43,  0.06,    --------  *---   |                   ,  0.21,  0.39,  0.43,  0.45,  0.51
#
 5,                  asIs,756,  0.55,  0.26,            ----    *|      ------------ ,  0.39,  0.47,  0.55,  0.72,  0.98
