#
 0,          smart_low_dim,50,  0.50,  0.14,  *                  |                   ,  0.47,  0.47,  0.50,  0.61,  0.62
 0,          smart_low_dim,40,  0.50,  0.10, -*       -          |                   ,  0.47,  0.50,  0.50,  0.59,  0.61
 0,           dumb_low_dim,50,  0.50,  0.04, - * ---             |                   ,  0.47,  0.50,  0.50,  0.53,  0.58
#
 1,           dumb_low_dim,30,  0.53,  0.04, --- *  --           |                   ,  0.47,  0.52,  0.53,  0.57,  0.60
 1,           dumb_low_dim,40,  0.53,  0.07, --  *  ---          |                   ,  0.47,  0.50,  0.53,  0.57,  0.61
 1,           dumb_low_dim,20,  0.55,  0.09, --   *   ---        |                   ,  0.47,  0.50,  0.55,  0.59,  0.64
#
 2,          smart_low_dim,30,  0.59,  0.11,          *----      |                   ,  0.50,  0.50,  0.59,  0.61,  0.67
 2,          smart_low_dim,20,  0.60,  0.12, --       *-----     |                   ,  0.47,  0.50,  0.60,  0.62,  0.67
#
 3,                  asIs,196,  0.76,  0.13,           --------  |*      ----------- ,  0.62,  0.71,  0.76,  0.85,  0.99
