#
 0,          smart_low_dim,20,  0.30,  0.00, *-----------        |                   ,  0.30,  0.30,  0.30,  0.30,  0.51
 0,          smart_low_dim,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,          smart_low_dim,40,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,          smart_low_dim,50,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
#
 1,           dumb_low_dim,30,  0.44,  0.14,         *---        |                   ,  0.30,  0.30,  0.44,  0.44,  0.51
 1,           dumb_low_dim,40,  0.44,  0.20,         *  -        |                   ,  0.30,  0.30,  0.44,  0.50,  0.51
 1,           dumb_low_dim,50,  0.44,  0.21,         *   ------- |                   ,  0.30,  0.30,  0.44,  0.51,  0.65
#
 2,           dumb_low_dim,20,  0.50,  0.14, --------   *    --- |                   ,  0.30,  0.45,  0.50,  0.59,  0.65
#
 3,                  asIs,259,  0.95,  0.12,                  ---|----------     * - ,  0.60,  0.86,  0.95,  0.97,  0.99
