#
 0,          dumb_high_dim,50,  0.04,  0.00, *---                |                   ,  0.04,  0.04,  0.04,  0.04,  0.06
 0,          dumb_high_dim,40,  0.04,  0.02,  * ---              |                   ,  0.04,  0.04,  0.04,  0.06,  0.07
 0,          dumb_high_dim,30,  0.04,  0.02, -*  -------         |                   ,  0.04,  0.04,  0.04,  0.06,  0.10
#
 1,          dumb_high_dim,20,  0.06,  0.05, -   *     ---       |                   ,  0.04,  0.05,  0.06,  0.10,  0.11
 1,         smart_high_dim,50,  0.06,  0.04, --- *    ----       |                   ,  0.04,  0.05,  0.06,  0.09,  0.11
 1,         smart_high_dim,30,  0.06,  0.04, --- *    ---        |                   ,  0.04,  0.05,  0.06,  0.09,  0.11
 1,         smart_high_dim,20,  0.07,  0.04, --   *  ----        |                   ,  0.04,  0.05,  0.07,  0.09,  0.11
 1,         smart_high_dim,40,  0.07,  0.04, --   *  --          |                   ,  0.04,  0.05,  0.07,  0.09,  0.10
#
 2,                 asIs,5184,  0.13,  0.04,            --   *   |-----              ,  0.10,  0.12,  0.13,  0.15,  0.19
