#
 0,          dumb_high_dim,50,  0.32,  0.06,            --  * ---|                   ,  0.26,  0.29,  0.32,  0.35,  0.40
 0,         smart_high_dim,40,  0.32,  0.06,          ---   *--- |                   ,  0.23,  0.28,  0.32,  0.34,  0.38
#
 1,         smart_high_dim,50,  0.34,  0.06,       -------   *-- |                   ,  0.20,  0.30,  0.34,  0.35,  0.39
 1,         smart_high_dim,30,  0.34,  0.04,             ----*  -|-                  ,  0.28,  0.34,  0.34,  0.38,  0.42
#
 2,          dumb_high_dim,40,  0.37,  0.05,              ---  *-|--                 ,  0.30,  0.33,  0.37,  0.38,  0.44
 2,         smart_high_dim,20,  0.37,  0.10,         -----     * |-                  ,  0.23,  0.29,  0.37,  0.39,  0.42
 2,          dumb_high_dim,30,  0.38,  0.06,              --    *|-                  ,  0.29,  0.32,  0.38,  0.39,  0.43
#
 3,          dumb_high_dim,20,  0.39,  0.06,             ------  * -----             ,  0.29,  0.37,  0.39,  0.43,  0.49
#
 4,                asIs,65536,  0.44,  0.10,               ----- |  *  ----          ,  0.31,  0.39,  0.44,  0.49,  0.54
