#
 0,         smart_high_dim,50,  0.11,  0.04,    *---             |                   ,  0.08,  0.09,  0.11,  0.13,  0.19
 0,         smart_high_dim,40,  0.11,  0.05,   -* ---            |                   ,  0.09,  0.10,  0.11,  0.15,  0.23
#
 1,          dumb_high_dim,40,  0.14,  0.03,   -- *----          |                   ,  0.09,  0.13,  0.14,  0.16,  0.26
 1,          dumb_high_dim,50,  0.15,  0.07,   -  *-             |                   ,  0.09,  0.11,  0.15,  0.18,  0.20
 1,         smart_high_dim,30,  0.16,  0.08,   -  * ----         |                   ,  0.09,  0.11,  0.16,  0.19,  0.29
 1,          dumb_high_dim,30,  0.16,  0.10,   -  *  -           |                   ,  0.09,  0.11,  0.16,  0.21,  0.25
 1,          dumb_high_dim,20,  0.17,  0.13,   --  *   -         |                   ,  0.09,  0.13,  0.17,  0.26,  0.30
 1,         smart_high_dim,20,  0.17,  0.06,   --  *-            |                   ,  0.08,  0.13,  0.17,  0.19,  0.23
#
 2,                asIs,20000,  0.48,  0.15,           ------   *| -----             ,  0.27,  0.40,  0.48,  0.55,  0.66
