#
 0,         smart_high_dim,50,  0.01,  0.00, -*                  |                   ,  0.01,  0.01,  0.01,  0.01,  0.02
 0,         smart_high_dim,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.01,  0.02
 0,         smart_high_dim,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,         smart_high_dim,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,          dumb_high_dim,50,  0.02,  0.00,  *                  |                   ,  0.01,  0.01,  0.02,  0.02,  0.02
 0,          dumb_high_dim,40,  0.02,  0.00,  *                  |                   ,  0.01,  0.01,  0.02,  0.02,  0.02
 0,          dumb_high_dim,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.01,  0.02,  0.02,  0.02
 0,          dumb_high_dim,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02,  0.02,  0.02,  0.02
#
 1,                 asIs,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.02,  0.04,  0.06,  0.18,  0.28
