#
 0,          smart_low_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_low_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_low_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,           dumb_low_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,           dumb_low_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,           dumb_low_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,           dumb_low_dim,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,          smart_low_dim,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.02
#
 1,                  asIs,196,  0.26,  0.13, --------  *  -----  |                   ,  0.01,  0.21,  0.26,  0.34,  0.46
