#
 0,         smart_high_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,40,  0.00,  0.00, *---                |                   ,  0.00,  0.00,  0.00,  0.00,  0.04
 0,         smart_high_dim,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.00,  0.02
 0,          dumb_high_dim,50,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,          dumb_high_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,         smart_high_dim,30,  0.00,  0.01, *------             |                   ,  0.00,  0.00,  0.00,  0.01,  0.07
 0,          dumb_high_dim,20,  0.01,  0.01, *----               |                   ,  0.00,  0.00,  0.01,  0.01,  0.05
 0,          dumb_high_dim,30,  0.01,  0.01, *----               |                   ,  0.00,  0.00,  0.01,  0.01,  0.05
#
 1,                 asIs,2880,  0.06,  0.05, ----  *  -----      |                   ,  0.00,  0.04,  0.06,  0.09,  0.14
