#
 0,         smart_high_dim,50,  0.21,  0.06, -- * -----          |                   ,  0.14,  0.18,  0.21,  0.25,  0.35
#
 1,         smart_high_dim,40,  0.25,  0.05,   -- *--            |                   ,  0.18,  0.23,  0.25,  0.28,  0.32
 1,          dumb_high_dim,40,  0.25,  0.04,    --* -            |                   ,  0.21,  0.24,  0.25,  0.28,  0.32
 1,         smart_high_dim,30,  0.26,  0.07,   -  * -            |                   ,  0.18,  0.21,  0.26,  0.29,  0.31
 1,          dumb_high_dim,50,  0.26,  0.05,   --  *-            |                   ,  0.19,  0.24,  0.26,  0.29,  0.32
#
 2,         smart_high_dim,20,  0.27,  0.06,     - * ---------   |                   ,  0.23,  0.25,  0.27,  0.31,  0.50
 2,          dumb_high_dim,30,  0.28,  0.07,    --  *---         |                   ,  0.20,  0.25,  0.28,  0.32,  0.37
 2,          dumb_high_dim,20,  0.29,  0.06,     -- * --         |                   ,  0.22,  0.27,  0.29,  0.33,  0.37
#
 3,                asIs,10000,  0.59,  0.13,           ------    |*------------      ,  0.36,  0.49,  0.59,  0.61,  0.89
