#
 0,          smart_low_dim,50,  0.01,  0.03, *-                  |                   ,  0.00,  0.00,  0.01,  0.03,  0.04
#
 1,          smart_low_dim,40,  0.03,  0.02, -*----              |                   ,  0.00,  0.03,  0.03,  0.05,  0.10
#
 2,           dumb_low_dim,30,  0.06,  0.05,  - * --             |                   ,  0.03,  0.04,  0.06,  0.09,  0.12
 2,          smart_low_dim,30,  0.06,  0.06, -  * -------        |                   ,  0.00,  0.03,  0.06,  0.09,  0.21
 2,           dumb_low_dim,50,  0.06,  0.02,  - *-               |                   ,  0.03,  0.04,  0.06,  0.06,  0.09
 2,           dumb_low_dim,40,  0.06,  0.04,  --* -              |                   ,  0.03,  0.05,  0.06,  0.09,  0.12
 2,           dumb_low_dim,20,  0.06,  0.04,  - * --             |                   ,  0.03,  0.05,  0.06,  0.09,  0.13
 2,          smart_low_dim,20,  0.08,  0.05, --  *---            |                   ,  0.01,  0.04,  0.08,  0.09,  0.14
#
 3,                 asIs,1343,  0.29,  0.15,          ---     *  |-------            ,  0.15,  0.21,  0.29,  0.36,  0.47
