#
 0,          smart_low_dim,40,  0.07,  0.02,     -*---           |                   ,  0.06,  0.07,  0.07,  0.09,  0.12
 0,          smart_low_dim,50,  0.08,  0.02, -----*-             |                   ,  0.00,  0.07,  0.08,  0.09,  0.10
#
 1,          smart_low_dim,20,  0.09,  0.02,       *-            |                   ,  0.08,  0.08,  0.09,  0.10,  0.12
 1,          smart_low_dim,30,  0.09,  0.03,       *-----        |                   ,  0.07,  0.07,  0.09,  0.10,  0.17
 1,           dumb_low_dim,50,  0.09,  0.02,      -*-            |                   ,  0.07,  0.08,  0.09,  0.10,  0.12
 1,           dumb_low_dim,20,  0.10,  0.04,        *--          |                   ,  0.07,  0.08,  0.10,  0.12,  0.14
 1,           dumb_low_dim,40,  0.10,  0.03,        *-           |                   ,  0.07,  0.08,  0.10,  0.10,  0.12
 1,           dumb_low_dim,30,  0.10,  0.03,      - * -          |                   ,  0.07,  0.09,  0.10,  0.12,  0.13
#
 2,                 asIs,1512,  0.18,  0.09,          --  *    --|--------           ,  0.12,  0.15,  0.18,  0.24,  0.39
