#
 0,          smart_low_dim,50,  0.00,  0.03, *----------         |                   ,  0.00,  0.00,  0.00,  0.03,  0.28
#
 1,          smart_low_dim,40,  0.02,  0.25, *         -         |                   ,  0.00,  0.00,  0.02,  0.26,  0.29
#
 2,           dumb_low_dim,40,  0.04,  0.16,  *     -----        |                   ,  0.00,  0.02,  0.04,  0.19,  0.32
 2,           dumb_low_dim,50,  0.05,  0.03, -*---               |                   ,  0.01,  0.04,  0.05,  0.07,  0.15
 2,           dumb_low_dim,30,  0.05,  0.25, - *        -        |                   ,  0.01,  0.04,  0.05,  0.29,  0.32
 2,          smart_low_dim,20,  0.06,  0.28,   *        --       |                   ,  0.00,  0.01,  0.06,  0.29,  0.33
#
 3,          smart_low_dim,30,  0.26,  0.26,           *-        |                   ,  0.00,  0.02,  0.26,  0.28,  0.31
#
 4,           dumb_low_dim,20,  0.30,  0.26, --          *       |                   ,  0.02,  0.06,  0.30,  0.32,  0.34
#
 5,                 asIs,1080,  0.43,  0.09,             ---  * -|-----              ,  0.30,  0.39,  0.43,  0.48,  0.66
