#
 0,         smart_high_dim,50,  0.17,  0.33, -    *         ---  |                   ,  0.03,  0.07,  0.17,  0.40,  0.47
 0,          dumb_high_dim,50,  0.17,  0.09,  --  * -------      |                   ,  0.07,  0.11,  0.17,  0.20,  0.38
 0,          dumb_high_dim,40,  0.20,  0.09,    --  * -----      |                   ,  0.10,  0.16,  0.20,  0.25,  0.38
#
 1,          dumb_high_dim,20,  0.21,  0.15,    --- *    ------- |                   ,  0.11,  0.17,  0.21,  0.32,  0.50
 1,          dumb_high_dim,30,  0.24,  0.14,   ----  *   ----    |                   ,  0.08,  0.19,  0.24,  0.32,  0.43
#
 2,         smart_high_dim,40,  0.30,  0.33, ----       *     -- |                   ,  0.03,  0.13,  0.30,  0.45,  0.49
 2,         smart_high_dim,20,  0.38,  0.16,    -----      *-----|                   ,  0.11,  0.23,  0.38,  0.39,  0.53
 2,         smart_high_dim,30,  0.39,  0.17,   -------     * ----|------             ,  0.09,  0.25,  0.39,  0.42,  0.69
#
 3,                 asIs,2880,  0.94,  0.05,                     |             -- *- ,  0.86,  0.91,  0.94,  0.96,  1.00
