#
 0,         smart_high_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,         smart_high_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,          dumb_high_dim,50,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,         smart_high_dim,20,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,          dumb_high_dim,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.01
 0,          dumb_high_dim,40,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.02
 0,          dumb_high_dim,20,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.02
#
 1,                  asIs,864,  0.18,  0.27, ------ *         ---|------------------ ,  0.02,  0.16,  0.18,  0.43,  0.98
