#
 0,          dumb_high_dim,40,  0.22,  0.01,     -*-             |                   ,  0.21,  0.21,  0.22,  0.23,  0.25
 0,         smart_high_dim,30,  0.22,  0.03,   -- *              |                   ,  0.18,  0.20,  0.22,  0.23,  0.23
 0,          dumb_high_dim,50,  0.22,  0.01,    --*              |                   ,  0.19,  0.21,  0.22,  0.23,  0.23
 0,         smart_high_dim,50,  0.23,  0.02,  --- *              |                   ,  0.16,  0.21,  0.23,  0.23,  0.24
 0,          dumb_high_dim,30,  0.23,  0.02,    -  *             |                   ,  0.19,  0.21,  0.23,  0.23,  0.26
 0,          dumb_high_dim,20,  0.23,  0.01,     - *----         |                   ,  0.20,  0.23,  0.23,  0.23,  0.32
 0,         smart_high_dim,40,  0.23,  0.02,    ---*-------      |                   ,  0.18,  0.23,  0.23,  0.25,  0.36
#
 1,         smart_high_dim,20,  0.25,  0.11,      - *     -------|-------            ,  0.21,  0.23,  0.25,  0.34,  0.57
#
 2,                 asIs,3008,  0.41,  0.31,                   * |              --   ,  0.36,  0.36,  0.41,  0.67,  0.70
