#
 0,         smart_high_dim,50,  0.01,  0.01, * -----             |                   ,  0.00,  0.00,  0.01,  0.01,  0.04
 0,          dumb_high_dim,40,  0.01,  0.02,  * -                |                   ,  0.00,  0.00,  0.01,  0.02,  0.03
 0,          dumb_high_dim,50,  0.01,  0.02,  * --               |                   ,  0.00,  0.00,  0.01,  0.02,  0.03
 0,         smart_high_dim,40,  0.02,  0.02,   * ----            |                   ,  0.00,  0.01,  0.02,  0.02,  0.05
 0,         smart_high_dim,30,  0.02,  0.03, -- *    ------------|-                  ,  0.00,  0.01,  0.02,  0.05,  0.12
 0,          dumb_high_dim,30,  0.02,  0.02, -  * ---            |                   ,  0.00,  0.01,  0.02,  0.03,  0.05
 0,          dumb_high_dim,20,  0.03,  0.05,  -  *      ---      |                   ,  0.01,  0.02,  0.03,  0.06,  0.08
 0,         smart_high_dim,20,  0.03,  0.02, ----*  -            |                   ,  0.01,  0.02,  0.03,  0.04,  0.05
#
 1,                 asIs,3840,  0.15,  0.04,   ------------------|-      *-          ,  0.02,  0.12,  0.15,  0.16,  0.16
