#
 0,         smart_high_dim,40,  0.02,  0.01, -*                  |                   ,  0.01,  0.02,  0.02,  0.03,  0.04
 0,         smart_high_dim,30,  0.03,  0.03, -*----------        |                   ,  0.02,  0.02,  0.03,  0.06,  0.26
 0,         smart_high_dim,50,  0.03,  0.01, -*                  |                   ,  0.01,  0.02,  0.03,  0.03,  0.06
#
 1,          dumb_high_dim,50,  0.07,  0.04,  - *-------         |                   ,  0.02,  0.05,  0.07,  0.09,  0.25
 1,          dumb_high_dim,40,  0.09,  0.19,  -  *     --        |                   ,  0.04,  0.05,  0.09,  0.24,  0.27
 1,         smart_high_dim,20,  0.09,  0.22,     *      ------   |                   ,  0.02,  0.03,  0.09,  0.25,  0.38
#
 2,          dumb_high_dim,20,  0.24,  0.18,   -        *---     |                   ,  0.04,  0.07,  0.24,  0.25,  0.34
 2,          dumb_high_dim,30,  0.24,  0.20,  --        *--      |                   ,  0.04,  0.07,  0.24,  0.26,  0.31
#
 3,                 asIs,6840,  0.55,  0.37,   ----------        |    *    --        ,  0.06,  0.27,  0.55,  0.65,  0.70
