#
 0,          smart_low_dim,40,  0.50,  0.07,        --   *-      |                   ,  0.41,  0.45,  0.50,  0.52,  0.53
 0,           dumb_low_dim,50,  0.51,  0.04,       ----- *-      |                   ,  0.39,  0.48,  0.51,  0.52,  0.53
 0,          smart_low_dim,30,  0.52,  0.02,              *      |                   ,  0.50,  0.51,  0.52,  0.53,  0.53
 0,           dumb_low_dim,20,  0.52,  0.02,          --- *      |                   ,  0.45,  0.51,  0.52,  0.53,  0.53
 0,           dumb_low_dim,30,  0.52,  0.03,        ----  *      |                   ,  0.42,  0.49,  0.52,  0.53,  0.54
 0,          smart_low_dim,50,  0.52,  0.01,          ----*      |                   ,  0.45,  0.52,  0.52,  0.53,  0.54
 0,           dumb_low_dim,40,  0.52,  0.01,           ---*      |                   ,  0.47,  0.52,  0.52,  0.52,  0.53
 0,          smart_low_dim,20,  0.52,  0.02,            --*      |                   ,  0.50,  0.52,  0.52,  0.53,  0.54
#
 1,                asIs,10000,  1.00,  0.47,                     |                  *,  0.52,  0.53,  1.00,  1.00,  1.00
