#
 0,         smart_high_dim,40,  0.57,  0.24, *                   | --                ,  0.57,  0.57,  0.57,  0.81,  0.83
 0,         smart_high_dim,50,  0.57,  0.00, *-------------------|-                  ,  0.57,  0.57,  0.57,  0.57,  0.81
#
 1,          dumb_high_dim,50,  0.64,  0.17, ------*             | ---               ,  0.57,  0.64,  0.64,  0.81,  0.85
#
 2,         smart_high_dim,20,  0.81,  0.14, -------------       | *  ------         ,  0.57,  0.71,  0.81,  0.85,  0.91
 2,         smart_high_dim,30,  0.81,  0.19, ------              | * -               ,  0.57,  0.64,  0.81,  0.83,  0.85
 2,          dumb_high_dim,40,  0.81,  0.14, -----------         | * -               ,  0.57,  0.69,  0.81,  0.84,  0.85
#
 3,          dumb_high_dim,30,  0.84,  0.05,       --------------|-  * ----          ,  0.64,  0.81,  0.84,  0.85,  0.90
 3,          dumb_high_dim,20,  0.85,  0.02,       --------------|--- *-----         ,  0.64,  0.83,  0.85,  0.85,  0.91
#
 4,                   asIs,93,  0.96,  0.08,                   --|---------      * - ,  0.77,  0.90,  0.96,  0.98,  0.99
