#
 0,         smart_high_dim,40,  0.11,  0.03,    *-               |                   ,  0.09,  0.11,  0.11,  0.14,  0.17
 0,          dumb_high_dim,50,  0.12,  0.07,  - * ---            |                   ,  0.07,  0.09,  0.12,  0.16,  0.23
 0,         smart_high_dim,50,  0.12,  0.05,  - *---             |                   ,  0.08,  0.10,  0.12,  0.15,  0.21
#
 1,          dumb_high_dim,40,  0.14,  0.08,  -  *--             |                   ,  0.08,  0.09,  0.14,  0.17,  0.21
 1,         smart_high_dim,30,  0.14,  0.04,     *----           |                   ,  0.11,  0.13,  0.14,  0.17,  0.27
 1,          dumb_high_dim,30,  0.15,  0.07,    -*  --           |                   ,  0.12,  0.13,  0.15,  0.21,  0.26
#
 2,         smart_high_dim,20,  0.16,  0.09,      * --           |                   ,  0.11,  0.13,  0.16,  0.22,  0.26
#
 3,          dumb_high_dim,20,  0.23,  0.06,   ----  *----       |                   ,  0.10,  0.19,  0.23,  0.25,  0.34
#
 4,                asIs,20000,  0.50,  0.18,          ------     *  ----             ,  0.25,  0.39,  0.50,  0.57,  0.68
