#
 0,         smart_high_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          dumb_high_dim,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_high_dim,30,  0.00,  0.00, *---                |                   ,  0.00,  0.00,  0.00,  0.00,  0.02
 0,         smart_high_dim,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,          dumb_high_dim,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          dumb_high_dim,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,          dumb_high_dim,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                 asIs,3840,  0.15,  0.04, --------------------|-      *-          ,  0.01,  0.12,  0.15,  0.16,  0.16
