#
 0,         smart_high_dim,50,  0.05,  0.02,   *-                |                   ,  0.03,  0.04,  0.05,  0.06,  0.10
 0,         smart_high_dim,40,  0.07,  0.04,   *-                |                   ,  0.03,  0.04,  0.07,  0.08,  0.12
#
 1,         smart_high_dim,30,  0.10,  0.05,  -- *---            |                   ,  0.05,  0.08,  0.10,  0.13,  0.22
#
 2,          dumb_high_dim,50,  0.12,  0.07,   - * -             |                   ,  0.07,  0.08,  0.12,  0.16,  0.19
 2,          dumb_high_dim,40,  0.13,  0.03,    - *              |                   ,  0.09,  0.11,  0.13,  0.15,  0.17
 2,          dumb_high_dim,30,  0.13,  0.07,    - *---           |                   ,  0.08,  0.11,  0.13,  0.17,  0.24
 2,         smart_high_dim,20,  0.13,  0.08,   -  *--            |                   ,  0.07,  0.09,  0.13,  0.17,  0.20
 2,          dumb_high_dim,20,  0.14,  0.09,      * --           |                   ,  0.08,  0.10,  0.14,  0.19,  0.24
#
 3,                asIs,10000,  0.44,  0.16,          -----   *  |-----              ,  0.23,  0.36,  0.44,  0.52,  0.67
