#
 0,         smart_high_dim,40,  0.10,  0.04,   -*--              |                   ,  0.07,  0.09,  0.10,  0.12,  0.17
 0,         smart_high_dim,30,  0.12,  0.08,   - * --            |                   ,  0.08,  0.10,  0.12,  0.18,  0.23
 0,         smart_high_dim,50,  0.12,  0.05, --- *---            |                   ,  0.04,  0.09,  0.12,  0.14,  0.23
#
 1,          dumb_high_dim,50,  0.15,  0.05,      *--            |                   ,  0.12,  0.13,  0.15,  0.18,  0.21
 1,          dumb_high_dim,40,  0.17,  0.11,   --  * --          |                   ,  0.07,  0.12,  0.17,  0.23,  0.26
 1,          dumb_high_dim,30,  0.17,  0.09,   --  * -           |                   ,  0.08,  0.13,  0.17,  0.22,  0.24
 1,         smart_high_dim,20,  0.19,  0.06,   ---  *----        |                   ,  0.09,  0.15,  0.19,  0.21,  0.33
#
 2,          dumb_high_dim,20,  0.22,  0.06,     --  *-          |                   ,  0.12,  0.17,  0.22,  0.23,  0.28
#
 3,                asIs,10000,  0.45,  0.15,          -----   *  |----               ,  0.25,  0.36,  0.45,  0.51,  0.64
