#
 0,         smart_high_dim,40,  0.08,  0.03,   *--               |                   ,  0.05,  0.06,  0.08,  0.09,  0.13
 0,         smart_high_dim,50,  0.08,  0.07, - *  -              |                   ,  0.03,  0.06,  0.08,  0.12,  0.16
#
 1,          dumb_high_dim,50,  0.12,  0.04,  -- *               |                   ,  0.05,  0.09,  0.12,  0.12,  0.14
 1,         smart_high_dim,30,  0.12,  0.06,  -   *---           |                   ,  0.05,  0.08,  0.12,  0.14,  0.21
 1,         smart_high_dim,20,  0.12,  0.05,   -- * --           |                   ,  0.07,  0.12,  0.12,  0.17,  0.21
 1,          dumb_high_dim,20,  0.13,  0.07,  --  * ----         |                   ,  0.05,  0.10,  0.13,  0.16,  0.26
 1,          dumb_high_dim,40,  0.13,  0.03,   -- *---           |                   ,  0.07,  0.12,  0.13,  0.15,  0.20
#
 2,          dumb_high_dim,30,  0.16,  0.05,     - *---          |                   ,  0.12,  0.13,  0.16,  0.18,  0.23
#
 3,                asIs,10000,  0.39,  0.16,           ----    * |  ----             ,  0.22,  0.32,  0.39,  0.48,  0.56
